slug,title,current_published_at,extracted_date,confidence,method,notes,date_changed
performance-audit-expansion-works-odaw-bridge-flyover-railway-graphic-road,Performance Audit Report on Expansion Works on Odaw Bridge and Construction of Flyover Bridge over Railway Line on the Graphic Road,2014-12-31,2014-08-21,high,transmittal_heading,,YES
management-petroleum-funds-2013,Report of the Auditor-General on the Management of Petroleum Funds for the period 1 January 2013 to 31 December 2013,2013-12-31,2013-01-01,high,transmittal_heading,,YES
public-accounts-ghana-mdas-2013,"Report of the Auditor-General on the Public Accounts of Ghana -- Ministries, Departments and Other Agencies (MDAs) for the Year ended 31 December 2013",2013-12-31,2014-09-01,medium,near_auditor_general,"Date from info page, not transmittal letter",YES
management-utilisation-dacf-statutory-funds-2013,Report of the Auditor-General on the management and utilization of District Assemblies' Common Fund (DACF) and other Statutory funds for the year ended 31 December 2013,2013-12-31,,remote,none,PDF not downloaded locally — needs manual download first,
public-accounts-ghana-polytechnics-2012,Report of the Auditor-General on the Public Accounts of Ghana - Polytechnics for the period ended 31 December 2012,2012-12-31,2012-12-31,high,transmittal_heading,,no
public-accounts-ghana-consolidated-fund-2012,Report of the Auditor-General on the Public Accounts of Ghana -- Consolidated Fund for the Year ended 31 December 2012,2012-12-31,2013-06-28,high,transmittal_heading,,YES
public-accounts-ghana-mdas-2012,"Report of the Auditor-General on the Public Accounts of Ghana -- Ministries, Departments and Other Agencies (MDAs) for the Year ended 31 December 2012",2012-12-31,2012-12-31,medium,near_auditor_general,"Date from info page, not transmittal letter",no
management-utilisation-dacf-statutory-funds-2012,Report of the Auditor-General on the management and utilization of District Assemblies' Common Fund (DACF) and other Statutory funds for the year ended 31 December 2012,2012-12-31,,remote,none,PDF not downloaded locally — needs manual download first,
public-accounts-ghana-mdas-2011,"Report of the Auditor-General on the Public Accounts of Ghana -- Ministries, Departments and Other Agencies (MDAs) for the Year ended 31 December 2011",2011-12-31,2012-06-29,high,before_salutation,,YES
management-utilisation-dacf-statutory-funds-2011,Report of the Auditor-General on the Management and Utilisation of District Assemblies' Common Fund (DACF) and Other Statutory Funds for the Year ended 31 December 2011,2011-12-31,,remote,none,PDF not downloaded locally — needs manual download first,
public-accounts-ghana-mdas-2010,"Report of the Auditor-General on the Public Accounts of Ghana -- Ministries, Departments, and Other Agencies (MDAs) for the year ended 31 December 2010",2010-12-31,2011-06-29,high,before_salutation,,YES
performance-audit-tma-construction-projects,Performance Audit Report of the Auditor-General on TMA'S Construction Projects,2010-12-31,,remote,none,PDF not downloaded locally — needs manual download first,
foreign-exchange-bank-of-ghana-half-year-june-2008,Report of the Auditor-General on the Statements of Foreign Exchange Receipts and Payments of the Bank of Ghana for the First Half Year ended 30 June 2008,2008-06-30,,remote,none,PDF not downloaded locally — needs manual download first,
performance-audit-management-ghana-police-residential-accommodation,Performance Audit Report of the Auditor-General on management of Ghana Police Residential Accommodation,2007-12-31,2008-10-28,high,before_salutation (via OCR),,YES
performance-audit-infrastructure-projects-public-educational-institutions-getfund,Performance Audit Report of the Auditor-General on the implementation of Infrastructure Projects in Public Educational Institutions financed by GETFUND,2007-12-31,2007-03-15,high,before_salutation (via OCR),,YES
performance-audit-public-servants-housing-loan-scheme,Performance Audit Report of the Auditor-General on Public Servants Housing Loan Scheme,2007-12-31,,remote,none,PDF not downloaded locally — needs manual download first,
performance-audit-business-registration-ghana,Performance Audit Report of the Auditor-General on Business Registration in Ghana,2007-12-31,2007-11-22,high,before_salutation (via OCR),,YES
foreign-exchange-bank-of-ghana-two-half-years-2006,Report of the Auditor-General on the Statements of Foreign Exchange Receipts and Payments of the Bank of Ghana for the Two Half Years ended 31 December 2006,2006-12-31,2006-06-30,medium,near_auditor_general (via OCR),"Date from info page, not transmittal letter",YES
performance-audit-procurement-drugs-ministry-of-health,Performance Audit Report of the Auditor-General on procurement of drugs and other items in the Ministry of Health,2005-12-31,2006-09-29,high,before_salutation (via OCR),,YES
performance-audit-funding-ghana-road-fund,Performance Audit Report of the Auditor-General on the funding of Ghana Road Fund,2005-12-31,2006-07-03,high,before_salutation (via OCR),,YES
performance-audit-provision-safe-drinking-water,Performance Audit Report of the Auditor-General on the Provision of Safe Drinking Water,2005-12-31,2006-06-30,high,before_salutation (via OCR),,YES
performance-audit-management-human-resources-primary-health-care-ghana-health-service,Performance Audit Report of the Auditor-General on the Management of Human Resources for the effective Primary Health Care delivery by The Ghana Health Service,2005-12-31,2006-12-01,high,before_salutation_month_year (via OCR),,YES
performance-audit-management-foreign-scholarships,Performance Audit Report of the Auditor-General on the Management of Foreign Scholarships,2005-12-31,2006-06-30,high,before_salutation (via OCR),,YES
performance-audit-administration-ghana-government-scholarships-second-cycle-institutions,Performance Audit Report of the Auditor-General into the Administration of Ghana Government Scholarships in Second Cycle Institutions,2005-12-31,2006-09-29,high,before_salutation (via OCR),,YES
consolidated-special-audits-district-assemblies-2001-2004,Consolidated Report of the Auditor-General on Special Audits into the Operations of District Assemblies for the Period 2001-2004,2004-12-31,2008-08-01,high,before_salutation_month_year (via OCR),,YES
performance-audit-management-accra-metropolitan-assembly-markets,Performance Audit Report of the Auditor-General on Expansion Works on Management of Accra Metropolitan Assembly Markets,2005-12-31,2004-04-06,high,before_salutation (via OCR),,YES
special-investigation-gpha-unauthorized-expenditure-bagbin,"Report of the Auditor-General on the special investigation into unauthorized expenditure made by the Ghana Ports and Harbours Authority (GPHA) on Hon. Alban S.K. Bagbin, MP, Minority Leader",2005-12-31,2004-02-04,high,before_salutation (via OCR),,YES
performance-audit-transport-operation-ministry-of-health,Performance Audit Report of the Auditor-General on Transport Operation in the Ministry of Health,2005-12-31,2004-09-01,high,before_salutation_month_year (via OCR),,YES
performance-audit-management-ghana-castles-forts,Performance Audit Report of the Auditor-General on Management of Ghana's Castles and Forts,2005-12-31,,remote,none,PDF not downloaded locally — needs manual download first,
performance-audit-construction-rehabilitation-school-buildings-second-cycle,Performance Audit Report of the Auditor-General on the construction and rehabilitation of school buildings in Second Cycle Educational Institutions,2005-12-31,2004-08-06,high,before_salutation (via OCR),,YES
special-report-investigation-bedford-land-rover-trucks-mackerel-ministry-defence-2003,Special Report of the Auditor-General on investigation into the purchase of Ex United Kingdom (UK) Ministry of Defence BEDFORD and Land Rover Trucks & Mackerel in pepper sauce and tuna solid in pure vegetable oil for Ministry of Defence 2003,2003-12-31,2003-10-01,high,before_salutation (via OCR),,YES
foreign-exchange-bank-of-ghana-two-half-years-2003,Report of the Auditor-General on the Statements of Foreign Exchange Receipts and Payments of the Bank of Ghana for the Two Half Years ended 31 December 2003,2003-12-31,,remote,none,PDF not downloaded locally — needs manual download first,
performance-audit-distribution-teachers-public-basic-schools,Performance Audit Report of the Auditor-General on the distribution of Teachers in Public Basic Schools,2003-12-31,,remote,none,PDF not downloaded locally — needs manual download first,
foreign-exchange-bank-of-ghana-two-half-years-2002,Report of the Auditor-General on the Statements of Foreign Exchange Receipts and Payments of the Bank of Ghana for the Two Half Years ended 31 December 2002,2002-12-31,,remote,none,PDF not downloaded locally — needs manual download first,
foreign-exchange-bank-of-ghana-four-half-years-1999-2000,Report of the Auditor-General on the Statements of Foreign Exchange Receipts and Payments of the Bank of Ghana for the Four Half Years of 1999 and 2000,2000-12-31,1999-12-31,low,first_date_found (via OCR),No salutation/transmittal match; used first date found (3 dates on pages 2-5),YES
usaid-grant-university-science-technology-school-mines-tarkwa-1990-1997,"Report of the Auditor-General on USAID grant to the University of Science and Technology School of Mines, Tarkwa for the period 27 September 1990 to 30 September 1997",1997-09-30,,remote,none,PDF not downloaded locally — needs manual download first,
public-accounts-ghana-pre-university-educational-institutions-1995,Report of the Auditor-General on the Public Accounts of Ghana-Pre-University Educational Institutions for the period ended 31 December 1995,1995-12-31,1996-12-30,high,before_salutation (via OCR),,YES
foreign-exchange-bank-of-ghana-first-second-half-year-1995,Report of the Auditor-General on the statements of Foreign Exchange receipts and payments of the Bank of Ghana for the first and second half-year ended 31 December 1995,1995-12-31,1996-10-01,high,before_salutation_month_year (via OCR),,YES
foreign-exchange-bank-of-ghana-second-half-year-1994,Report of the Auditor-General on the Statements of Foreign Exchange Receipts and Payments of the Bank of Ghana for the Second Half-Year Ended 31 December 1994,1994-12-31,1995-12-01,medium,near_auditor_general_month_year (via OCR),"Date from info page, not transmittal letter",YES
accounts-district-assemblies-common-fund-1994,Report of the Auditor-General on the accounts of the District Assemblies Common Fund for the year ended 31 December 1994,1994-12-31,1996-02-23,high,before_salutation (via OCR),,YES
foreign-exchange-bank-of-ghana-second-half-year-1993,Report of the Auditor-General on the Statements of Foreign Exchange Receipts and Payments of the Bank of Ghana for the Second Half-Year Ended 31 December 1993,1993-12-31,1994-09-30,medium,near_auditor_general (via OCR),"Date from info page, not transmittal letter",YES
special-audit-report-government-outstanding-claims-commitments-31-december-2024-vol-2,Special audit report of the Auditor-General on Government outstanding claims and commitments as at 31 December 2024 - Vol 2,2024-12-31,2025-11-03,manual,manual_entry,Manually entered after visual inspection,YES
performance-audit-mental-health-management-care-delivery-ghana,Performance Audit Report of the Auditor-General on Mental Health Management and Care Delivery in Ghana,2021-12-31,2022-03-01,manual,manual_entry,Manually entered after visual inspection,YES
performance-audit-management-education-children-special-needs,Performance Audit Report of the Auditor-General on the Management of Education of Children with Special Needs,2021-12-31,2025-05-05,manual,manual_entry,Manually entered after visual inspection,YES
