slug,title,current_published_at,extracted_date,confidence,method,notes,date_changed
public-accounts-ghana-colleges-education-pre-university-2022,Report of the Auditor-General on the Public Accounts of Ghana: Colleges of Education and Pre-university Educational Institutions for the financial year ended 31 December 2022,2022-12-31,2022-12-31,medium,near_auditor_general,"Date from info page, not transmittal letter",no
public-accounts-ghana-general-government-2022,Report of the Auditor-General on the public accounts of Ghana (General Government) for the year ended 31 December 2022,2022-12-31,2022-12-31,medium,near_auditor_general,"Date from info page, not transmittal letter",no
accounts-district-assemblies-2022,Report of the Auditor-General on the accounts of district assemblies for the year ended 31 December 2022,2022-12-31,2022-12-31,high,transmittal_heading,,no
public-accounts-ghana-public-boards-corporations-statutory-institutions-2022,"Report of the Auditor-General on the Accounts of Ghana: Public Boards, Corporations and other Statutory Institutions for the period ended 31 December 2022",2022-12-31,2023-06-16,medium,near_auditor_general,"Date from info page, not transmittal letter",YES
consolidated-statements-foreign-exchange-bank-of-ghana-2022,Report of the Auditor-General on the Consolidated Statements of Foreign Exchange Receipts and Payments of the Bank of Ghana (BoG) for the year ended 31 December 2022,2022-12-31,2023-06-14,high,before_salutation,,YES
public-accounts-ghana-technical-universities-2022,Report of the Auditor-General on the Public Accounts of Ghana -- Technical Universities for the year ended 31 December 2022,2022-12-31,2023-06-16,high,before_salutation,,YES
special-audit-recoveries-disallowed-expenditure-2017-2020-payroll-savings-2022,Special Audit Report on the recoveries made from disallowed expenditure in the Auditor-General's reports from 2017 to 2020 and payroll savings as at 30 September 2022,2022-12-31,2022-09-30,high,transmittal_heading,,YES
foreign-exchange-bank-of-ghana-half-year-june-2022,Report of the Auditor-General on the statement of Foreign Exchange Receipts and Payments of the Bank of Ghana (BOG) for the half-year ended 30 June 2022,2022-06-30,2022-12-29,high,before_salutation,,YES
audit-government-ghana-covid-19-expenditure-march-2020-june-2022,Report on the audit of the Government of Ghana Covid-19 expenditure for the period March 2020 to June 2022,2022-12-31,2022-12-30,high,before_salutation,,YES
consolidated-statements-foreign-exchange-bank-of-ghana-2021,Report of the Auditor-General on the Consolidated Statements of Foreign Exchange Receipts and Payments of the Bank of Ghana (BoG) for the year ended 31 December 2021,2021-12-31,2022-06-01,high,before_salutation (via OCR),,YES
accounts-district-assemblies-2021,Report of the Auditor-General on the Accounts of District Assemblies for the financial year ended 31 December 2021,2021-12-31,2022-06-03,high,before_salutation,,YES
public-accounts-ghana-general-government-2021,Report of the Auditor-General on the Public Accounts of Ghana (General Government) for the year ended 31 December 2021,2021-12-31,2022-06-01,high,before_salutation,,YES
management-petroleum-funds-2021,Report of the Auditor-General on the Management of Petroleum Funds for the period 1 January 2021 to 31 December 2021,2021-12-31,2022-06-14,high,before_salutation,,YES
public-accounts-ghana-technical-universities-2021,Report of the Auditor-General on the Public Accounts of Ghana -- Technical Universities for the year ended 31 December 2021,2021-12-31,2021-12-31,high,transmittal_heading (via OCR),,no
public-accounts-ghana-pre-university-educational-institutions-2021,"Report of the Auditor-General on the Public Accounts of Ghana, Pre-University Educational Institutions for the financial year ended 31 December 2021",2021-12-31,2022-06-15,high,before_salutation,,YES
public-accounts-ghana-public-boards-corporations-statutory-institutions-2021,"Report of the Auditor-General on the Public Accounts of Ghana -- Public Boards, Corporations and other Statutory Institutions for the period ended 31 December 2021",2021-12-31,2022-06-01,medium,near_auditor_general,"Date from info page, not transmittal letter",YES
foreign-exchange-bank-of-ghana-half-year-june-2021,Report of the Auditor-General on the Statements of Foreign Exchange Receipts and Payments of the Bank of Ghana (BoG) for the half-year ended 30 June 2021,2021-06-30,2021-12-08,medium,near_auditor_general,"Date from info page, not transmittal letter",YES
management-utilisation-dacf-statutory-funds-2021,Report of the Auditor-General on the Management and Utilisation of the District Assemblies Common Fund (DACF) and Other Statutory Funds for the year ended 31 December 2021,2021-12-31,2022-06-01,high,before_salutation,,YES
performance-audit-fleet-management-national-ambulance-service,Performance Audit Report of the Auditor-General on Fleet Management of the National Ambulance Service,2021-12-31,2022-05-25,high,before_salutation (via OCR),,YES
consolidated-performance-audit-capital-projects-30-mmdas-dacf-rfg,Consolidated Performance Audit Report of the Auditor-General on Capital projects of 30 selected MMDAs funded through the DACF-RFG,2021-12-31,2022-05-25,high,before_salutation (via OCR),,YES
public-accounts-ghana-mdas-2021,"Report of the Auditor-General on the Public Accounts of Ghana - Ministries, Departments and other Agencies for the year ended 31 December 2021",2021-12-31,2022-06-13,high,before_salutation,,YES
public-accounts-ghana-pre-university-educational-institutions-2020,"Report of the Auditor-General on the Public Accounts of Ghana, Pre-University Educational Institutions for the financial year ended 31 December 2020",2020-12-31,2021-06-09,high,before_salutation,,YES
public-accounts-ghana-technical-universities-polytechnics-2020,Report of the Auditor-General on the Public Accounts of Ghana -- Technical Universities and Polytechnics for the period ended 31 December 2020,2020-12-31,2021-06-08,high,before_salutation (via OCR),,YES
performance-audit-provision-flood-control-drains-hydrological-services,Performance Audit Report of the Auditor-General on provision of Flood Control Drains by Hydrological Services Department of the Ministry of Works & Housing,2020-12-31,2021-07-09,high,before_salutation,,YES
management-utilisation-dacf-statutory-funds-2020,Report of the Auditor-General on the Management and Utilisation of District Assemblies' Common Fund (DACF) and Other Statutory Funds for the Year ended 31 December 2020,2020-12-31,,remote,none,PDF not downloaded locally — needs manual download first,
accounts-district-assemblies-2020,Report of the Auditor-General on the Accounts of District Assemblies for the Financial Year ended 31 December 2020,2020-12-31,2021-06-10,high,before_salutation (via OCR),,YES
consolidated-statements-foreign-exchange-bank-of-ghana-2020,Report of the Auditor-General on the Consolidated Statements of Foreign Exchange receipts and payments of the Bank of Ghana (BoG) for the year ended 31 December 2020,2020-12-31,2020-12-31,medium,near_auditor_general,"Date from info page, not transmittal letter",no
public-accounts-ghana-mdas-2020,"Report of the Auditor-General on the Public Accounts of Ghana -- Ministries, Departments and Other Agencies (MDAs) for the year ended 31 December 2020",2020-12-31,2021-06-11,high,before_salutation,,YES
public-accounts-ghana-general-government-2020,Report of the Auditor-General on the Public Sector Accounts of Ghana (General Government) for the year ended 31 December 2020,2020-12-31,2021-06-09,high,before_salutation,,YES
public-accounts-ghana-public-boards-corporations-statutory-institutions-2020,Report of the Auditor-General on the Public Accounts of Ghana -- Public Boards Corporations and other Statutory Institutions for the period ended 31 December 2020,2020-12-31,2021-05-31,medium,near_auditor_general,"Date from info page, not transmittal letter",YES
management-petroleum-funds-2020,Report of the Auditor-General on the management of Petroleum Funds for the financial year ended 31 December 2020,2020-12-31,2021-07-08,high,before_salutation (via OCR),,YES
performance-audit-regulating-reclamation-activities-small-scale-mining-sites,Performance Audit Report of the Auditor-General on Regulating Reclamation Activities at Small-Scale Mining Sites,2020-12-31,2021-06-10,high,before_salutation,,YES
performance-audit-management-blood-transfusion-services-health-delivery,Performance Audit Report of the Auditor-General on the management of Blood Transfusion Services in Health Delivery in Ghana,2020-12-31,2021-07-09,high,before_salutation,,YES
performance-audit-selected-road-works-greater-kumasi-metropolis,Performance Audit Report of the Auditor-General on selected road works in the Greater Kumasi Metropolis,2020-12-31,2021-04-30,high,before_salutation (via OCR),,YES
performance-audit-construction-30-1000mt-warehouses,"Performance Audit Report of the Auditor-General on the construction of 30,1000MT Warehouses",2020-12-31,2021-04-30,high,before_salutation (via OCR),,YES
performance-audit-provision-adoption-services-central-adoption-authority,Performance Audit Report of the Auditor-General on the provision of Adoption Services by Central Adoption Authority and Department of Social Welfare,2020-12-31,2021-06-10,high,before_salutation (via OCR),,YES
foreign-exchange-bank-of-ghana-half-year-june-2019,Report of the Auditor-General on the statements of Foreign Exchange receipts and payments of the Bank of Ghana for the first half-year ended 30 June 2019,2019-06-30,2019-12-12,high,before_salutation,,YES
management-utilisation-dacf-statutory-funds-2019,Report of the Auditor-General on the Management and Utilisation of District Assemblies' Common Fund (DACF) and Other Statutory Funds for the Year ended 31 December 2019,2019-12-31,,remote,none,PDF not downloaded locally — needs manual download first,
public-accounts-ghana-technical-universities-polytechnics-2019,Report of the Auditor-General on the Public Accounts of Ghana -- Technical Universities and Polytechnics for the period ended 31 December 2019,2019-12-31,2019-12-31,high,transmittal_heading,,no
accounts-district-assemblies-2019,Report of the Auditor-General on the Accounts of District Assemblies for the Financial Year ended 31 December 2019,2019-12-31,2020-10-21,high,before_salutation,,YES
public-accounts-ghana-public-boards-corporations-statutory-institutions-2019,Report of the Auditor-General on the Public Accounts of Ghana -- Public Boards Corporations and other Statutory Institutions for the period ended 31 December 2019,2019-12-31,2020-10-22,medium,near_auditor_general,"Date from info page, not transmittal letter",YES
public-accounts-ghana-mdas-2019,"Report of the Auditor-General on the Public Accounts of Ghana -- Ministries, Departments and Other Agencies (MDAs) for the Year ended 31 December 2019",2019-12-31,2019-12-31,high,transmittal_heading,,no
public-accounts-ghana-pre-university-educational-institutions-2019,"Report of the Auditor-General on the Public Accounts of Ghana, Pre-University Educational Institutions for the financial year ended 31 December 2019",2019-12-31,2019-12-31,high,transmittal_heading,,no
consolidated-statements-foreign-exchange-bank-of-ghana-2019,Report of the Auditor-General on the Consolidated Statements of Foreign Exchange receipts and payments of the Bank of Ghana for the year ended 31 December 2019,2019-12-31,2020-06-23,high,before_salutation,,YES
public-accounts-ghana-general-government-2019,Report of the Auditor-General on the Public Accounts of Ghana (General Government) for the Financial Year ended 31 December 2019,2019-12-31,2019-12-31,high,transmittal_heading,,no
performance-audit-administration-scholarships-getfund,Performance Audit Report of the Auditor-General on the Administration of Scholarships by GETFUND,2019-12-31,2019-11-08,high,transmittal_heading,,YES
performance-audit-tetteh-quarshie-madina-ayamfuri-obuase-bolgatanga-bawku-polimakom-roads,"Performance Audit Report of the Auditor On (1) Tetteh Quarshie To Madina Road; (2) Ayamfuri to New Obuase Road; and (3) The Bolgatanga, Bawku to Polimakom Road",2019-12-31,2019-11-28,high,transmittal_heading,,YES
performance-audit-preparedness-response-veterinary-service-animal-diseases,Performance Audit Report of the Auditor-General on preparedness and response of Veterinary Service Directorate to Animal diseases outbreaks in Ghana,2019-12-31,2019-10-16,high,before_salutation,,YES
performance-audit-sustainability-sports-stadia-ghana,Performance Audit Report of the Auditor-General on sustainability of Sports Stadia in Ghana,2019-12-31,2019-12-30,high,before_salutation,,YES
special-audit-disallowance-surcharge-november-2018,Special audit report of the Auditor-General on disallowance and surcharge as at 30 November 2018,2018-12-31,2018-12-19,high,before_salutation,,YES
nationwide-payroll-personnel-verification-audit-june-2018,Report of the Auditor-General on the Nationwide Payroll and Personnel Verification Audit as at June 2018,2018-12-31,2020-04-03,medium,near_auditor_general,"Date from info page, not transmittal letter",YES
management-petroleum-funds-2018,Report of the Auditor-General on the management of Petroleum Funds for the financial year ended 31 December 2018,2018-12-31,2020-05-20,high,before_salutation,,YES
special-audits-selected-state-institutions-2018,Report of the Auditor-General on Special Audits carried out on Selected State Institutions in the year 2018,2018-12-31,2019-03-31,high,before_salutation,,YES
public-accounts-central-government-2018,Report of the Auditor-General on the Public Accounts (Central Government) for the Financial Year ended 31 December 2018,2018-12-31,2018-12-31,high,transmittal_heading,,no
public-accounts-ghana-pre-university-educational-institutions-2018,"Report of the Auditor-General on the Public Accounts of Ghana, Pre-University Educational Institutions for the financial year ended 31 December 2018",2018-12-31,2018-12-31,high,transmittal_heading,,no
foreign-exchange-bank-of-ghana-2018,Report of the Auditor-General on the statements of Foreign Exchange receipts and payments of the Bank of Ghana for the year ended 31 December 2018,2018-12-31,2019-06-10,high,before_salutation,,YES
public-accounts-ghana-mdas-2018,"Report of the Auditor-General on the Public Accounts of Ghana -- Ministries, Departments and Other Agencies (MDAs) for the Year ended 31 December 2018",2018-12-31,2018-12-31,high,transmittal_heading,,no
public-accounts-ghana-public-boards-corporations-statutory-institutions-2018,Report of the Auditor-General on the Public Accounts of Ghana -- Public Boards Corporations and other Statutory Institutions for the period ended 31 December 2018,2018-12-31,2019-06-17,medium,near_auditor_general,"Date from info page, not transmittal letter",YES
accounts-district-assemblies-2018,Report of the Auditor-General on the Accounts of District Assemblies for the Financial Year ended 31 December 2018,2018-12-31,2019-06-20,high,before_salutation,,YES
public-accounts-ghana-technical-universities-polytechnics-2018,Report of the Auditor-General on the Public Accounts of Ghana -- Technical Universities and Polytechnics for the period ended 31 December 2018,2018-12-31,2018-12-31,high,transmittal_heading,,no
management-utilisation-dacf-statutory-funds-2018,Report of the Auditor-General on the Management and Utilisation of District Assemblies' Common Fund (DACF) and Other Statutory Funds for the Year ended 31 December 2018,2018-12-31,,remote,none,PDF not downloaded locally — needs manual download first,
performance-audit-management-human-effluent-accra-metropolitan-assembly,Performance Audit Report of the Auditor-General on the Management of Human Effluent by Accra Metropolitan Assembly,2018-12-31,2019-03-31,high,before_salutation,,YES
performance-audit-regulating-small-scale-mining-sustainable-environment,Performance Audit Report of the Auditor-General on Regulating Small-Scale Mining for a Sustainable Environment,2018-12-31,2019-04-25,high,before_salutation,,YES
performance-audit-selected-road-works-ghana-east-legon-spintex-eastern-corridor,"Performance Audit Report of the Auditor-General on Selected Road Works in Ghana-East Legon/Spintex Road Underpass, Eastern Corridor Road Project Lots 5&6 and Oil & Gas Enclave Roads",2018-12-31,2019-11-28,high,transmittal_heading,,YES
performance-audit-preparedness-implementation-sustainable-development-goals,Performance Audit Report of the Auditor-General - Government of Ghana's Preparedness for Implementation of Sustainable Development Goals,2018-12-31,,remote,none,PDF not downloaded locally — needs manual download first,
payment-dividend-consolidated-fund-state-owned-enterprises,Report of the Auditor-General on the payment of dividend into the Consolidated Fund by selected State-Owned Enterprises and other Companies,2018-12-31,2018-10-31,high,transmittal_heading,,YES
analysis-performance-audits-50-district-assemblies-strengthening-accountability-mechanism-ii,Analysis Report of the Auditor-General on Performance Audits on 50 District Assemblies under Ghana's Strengthening Accountability Mechanism II,2018-12-31,,remote,none,PDF not downloaded locally — needs manual download first,
performance-audit-capital-projects-ddf-30-mmdas-mlgrd,Performance Audit Report of the Auditor-General on Capital Projects funded through DDF in 30 MMDAs in Ghana - MLGRD,2018-12-31,2020-05-07,high,transmittal_heading,,YES
public-accounts-ghana-technical-universities-polytechnics-2017,Report of the Auditor-General on the Public Accounts of Ghana -- Technical Universities and Polytechnics for the period ended 31 December 2017,2017-12-31,2017-12-31,high,transmittal_heading,,no
management-petroleum-funds-2017,Report of the Auditor-General on the management of Petroleum Funds for the period 1 January 2017 to 31 December 2017,2017-12-31,2019-06-29,high,before_salutation,,YES
public-accounts-ghana-pre-university-educational-institutions-2017,"Report of the Auditor-General on the Public Accounts of Ghana, Pre-University Educational Institutions for the financial year ended 31 December 2017",2017-12-31,2017-12-31,high,transmittal_heading,,no
accounts-district-assemblies-2017,Report of the Auditor-General on the Accounts of District Assemblies for the Financial Year ended 31 December 2017,2017-12-31,2018-06-25,high,before_salutation,,YES
public-accounts-ghana-public-boards-corporations-statutory-institutions-2017,Report of the Auditor-General on the Public Accounts of Ghana -- Public Boards Corporations and other Statutory Institutions for the period ended 31 December 2017,2017-12-31,2018-06-25,medium,near_auditor_general,"Date from info page, not transmittal letter",YES
public-accounts-ghana-mdas-2017,"Report of the Auditor-General on the Public Accounts of Ghana -- Ministries, Departments and Other Agencies (MDAs) for the Year ended 31 December 2017",2017-12-31,2017-12-01,high,before_salutation_month_year,,YES
foreign-exchange-bank-of-ghana-2017,Report of the Auditor-General on the statements of Foreign Exchange receipts and payments of the Bank of Ghana for the year ended 31 December 2017,2017-12-31,2018-06-25,high,before_salutation,,YES
consolidated-annual-accounts-government-2017,Report of the Auditor-General on the Consolidated Annual Accounts of Government for the Financial Year ended 31 December 2017,2017-12-31,2017-12-31,high,transmittal_heading,,no
management-utilisation-dacf-statutory-funds-2017,Report of the Auditor-General on the Management and Utilisation of District Assemblies' Common Fund (DACF) and Other Statutory Funds for the Year ended 31 December 2017,2017-12-31,,remote,none,PDF not downloaded locally — needs manual download first,
liabilities-mdas-31-december-2016,"Report of the Auditor-General on the Liabilities of Ministries, Departments, and Agencies (MDAs) as at 31 December 2016",2016-12-31,,remote,none,PDF not downloaded locally — needs manual download first,
public-accounts-ghana-pre-university-educational-institutions-2016,"Report of the Auditor-General on the Public Accounts of Ghana, Pre-University Educational Institutions for the financial year ended 31 December 2016",2016-12-31,2016-12-31,high,transmittal_heading,,no
public-accounts-ghana-technical-universities-polytechnics-2016,Report of the Auditor-General on the Public Accounts of Ghana -- Technical Universities and Polytechnics for the period ended 31 December 2016,2016-12-31,2016-12-31,high,transmittal_heading,,no
management-utilisation-dacf-statutory-funds-2016,Report of the Auditor-General on the Management and Utilisation of District Assemblies' Common Fund (DACF) and Other Statutory Funds for the Year ended 31 December 2016,2016-12-31,,remote,none,PDF not downloaded locally — needs manual download first,
management-petroleum-funds-2016,Report of the Auditor-General on the management of Petroleum Funds for the period 1 January 2016 to 31 December 2016,2016-12-31,2017-09-29,high,before_salutation,,YES
