slug,title,current_published_at,extracted_date,confidence,method,notes,date_changed
special-audit-report-government-outstanding-claims-commitments-31-december-2024-vol-2,Special audit report of the Auditor-General on Government outstanding claims and commitments as at 31 December 2024 - Vol 2,2024-12-31,,03 November 2025,none,Text extracted but no date in DD Month YYYY format found on pages 2-5,
performance-audit-mental-health-management-care-delivery-ghana,Performance Audit Report of the Auditor-General on Mental Health Management and Care Delivery in Ghana,2021-12-31,,01 March 2022,none,Text extracted but no date in DD Month YYYY format found on pages 2-5,
performance-audit-management-education-children-special-needs,Performance Audit Report of the Auditor-General on the Management of Education of Children with Special Needs,2021-12-31,,05 May ,none,Text extracted but no date in DD Month YYYY format found on pages 2-5,
